=== SODA LOCAL PHYSICAL MODELS INVENTORY (FASE 1.5 CONSCIÊNCIA DO SILÍCIO) ===
GERADO EM: 2026-07-30 00:24:10
FONTE DE ESTADO SQLITE: Z:\souls_mc\.souls_data\souls_heuristic_vault.db (VIEW NATIVA: vw_finops_routing)
------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL DE MODELOS ENCONTRADOS: 24
ESPAÇO TOTAL EM DISCO: 52.10 GB
------------------------------------------------------------------------------------------------------------------------------------------------------
FAMÍLIA         | NOME REAL DO MODELO                           | PARAMS   | QUANT      | CONTEXTO   | CAPACIDADES                    | TAMANHO (GB) | CAMINHO FÍSICO
------------------------------------------------------------------------------------------------------------------------------------------------------
bitnet-b1.58    | Local - Bitnet2b (GGUF)                       | 2B       | GGUF_CUSTOM | 4096       | BASE                           | 1.11         | C:\Users\rosas\.lmstudio\models\microsoft\bitnet-b1.58-2B-4T-gguf\ggml-model-i2_s.gguf
clip            | Nimbus Labs - 4b (GGUF)                       | 4B       | F16        | 4096       | BASE                           | 0.63         | C:\Users\rosas\.lmstudio\models\Nimbus-Labs\Nimbus-4B-GGUF\mmproj-Nimbus-4B-F16.gguf
clip            | Microsoft - Fara 7B (GGUF)                    | 7B       | F16        | 4096       | BASE                           | 1.26         | C:\Users\rosas\.lmstudio\models\bartowski\microsoft_Fara-7B-GGUF\mmproj-microsoft_Fara-7B-f16.gguf
clip            | Local - Bonsai 27B (GGUF)                     | 27B      | GGUF_CUSTOM | 4096       | BASE                           | 0.87         | C:\Users\rosas\.lmstudio\models\AI-Joe-git\Bonsai-27B-gguf\Bonsai-27B-mmproj-BF16.gguf
clip            | Local - Gemma 4 E2B It (GGUF)                 | Unknown  | GGUF_CUSTOM | 4096       | BASE                           | 0.92         | C:\Users\rosas\.lmstudio\models\llmfan46\gemma-4-E2B-it-ultra-uncensored-heretic-GGUF\gemma-4-E2B-it-mmproj-BF16.gguf
clip            | Local - Gemma 4 E2B (GGUF)                    | Unknown  | GGUF_CUSTOM | 4096       | BASE                           | 0.92         | C:\Users\rosas\.lmstudio\models\lmstudio-community\gemma-4-E2B-it-GGUF\mmproj-gemma-4-E2B-it-BF16.gguf
dspark          | Local - Bonsai 27B Dspark (GGUF)              | 27B      | GGUF       | 4096       | BASE                           | 1.66         | C:\Users\rosas\.lmstudio\models\AI-Joe-git\Bonsai-27B-gguf\Bonsai-27B-dspark-Q4_1.gguf
gemma4          | Local - Gemma 4 E2B (GGUF)                    | Unknown  | Q4_K_M     | 131072     | TOOL_CALLING                   | 3.19         | C:\Users\rosas\.lmstudio\models\lmstudio-community\gemma-4-E2B-it-GGUF\gemma-4-E2B-it-Q4_K_M.gguf
gemma4          | Local - Gemma 4 E2B It Ultra Uncensored Heretic (GGUF) | Unknown  | Q4_K_M     | 131072     | TOOL_CALLING                   | 3.19         | C:\Users\rosas\.lmstudio\models\llmfan46\gemma-4-E2B-it-ultra-uncensored-heretic-GGUF\gemma-4-E2B-it-ultra-uncensored-heretic-Q4_K_M.gguf
hunyuan-dense   | Local - 7B (GGUF)                             | 7B       | Q4_K_M     | 262144     | BASE                           | 4.31         | C:\Users\rosas\.lmstudio\models\tencent\Hy-MT2-7B-GGUF\Hy-MT2-7B-Q4_K_M.gguf
llama           | Local - Smollm2 360M 8k Lc100K Mix1 Ep2 (GGUF) | Unknown  | Q8_0       | 8192       | BASE                           | 0.36         | C:\Users\rosas\.lmstudio\models\HuggingFaceTB\SmolLM2-360M-Instruct-GGUF\smollm2-360m-instruct-q8_0.gguf
mamba           | Local - Falcon3 Mamba 7B Instruct (GGUF)      | 7B       | GGUF_CUSTOM | 1048576    | BASE                           | 3.05         | C:\Users\rosas\.lmstudio\models\mradermacher\Falcon3-Mamba-7B-Instruct-i1-GGUF\Falcon3-Mamba-7B-Instruct.i1-IQ3_M.gguf
